run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_061 330 23 30.0000 0.7-1 50.0000 9.91652 31.5200 507 147 0.140000 2008-07-17T13:02 46 866 0.500000 2008-07-19T05:07:31.304 14.5330 -14.5330 0.711040 0.727020
run_003 340 73 20.0000 0.7-1 50.0000 9.51370 30.4393 466 133 0.388356 2008-09-10T13:02 46 845 0.606849 2008-09-12T09:51:38.630 1.57890 0.369041 1.87358 1.88655
run_003 350 75 10.0000 0.7-1 50.0000 8.67187 28.1116 472 136 0.364933 2008-09-10T13:02 48 917 0.297333 2008-09-12T07:41:31.200 2.12933 -1.80000 1.99670 2.01015
run_012 310 65 50.0000 0.7-1 50.0000 12.1700 35.0200 440 118 0.352308 2008-11-09T17:02 46 773 0.320000 2008-11-11T16:20:09.231 5.83708 -5.83708 1.01613 1.02404
run_012 320 67 40.0000 0.7-1 50.0000 11.9000 34.7700 483 131 0.330448 2008-11-09T17:02 47 802 0.311940 2008-11-11T12:33:56.418 9.60731 -9.60731 0.865383 0.871915
run_012 330 62 30.0000 0.7-1 50.0000 10.8540 33.1382 502 132 0.193871 2008-11-09T17:02 47 845 0.430645 2008-11-11T09:23:04.839 12.7913 -12.7913 0.488723 0.492713
run_012 340 76 20.0000 0.7-1 50.0000 9.94499 31.1775 475 137 0.202895 2008-11-09T17:02 47 914 0.326316 2008-11-11T08:02:42.632 14.1312 -14.1312 0.809652 0.815032
run_012 350 45 10.0000 0.7-1 50.0000 8.53689 27.2518 498 140 0.188444 2008-11-09T17:02 48 1024 0.320000 2008-11-11T04:27:38.667 17.7182 -17.7182 0.655565 0.662973
run_039 270 57 90.0000 0.7-1 50.0000 12.9400 33.0737 513 132 0.228421 2009-01-01T05:02 47 841 0.243860 2009-01-02T21:39:22.105 7.10053 7.10053 1.96139 1.97883
run_039 280 37 80.0000 0.7-1 50.0000 13.3400 34.0700 545 130 0.120000 2009-01-01T05:02 48 877 0.227027 2009-01-02T18:44:58.378 4.19270 4.19270 1.09669 1.11182
run_039 290 40 70.0000 0.7-1 50.0000 13.5400 34.4500 564 109 0.107000 2009-01-01T05:02 49 921 0.0675000 2009-01-02T16:48:15.000 2.24750 2.24750 0.511741 0.518260
run_039 300 51 60.0000 0.7-1 50.0000 13.6300 36.0400 552 92 0.0937255 2009-01-01T05:02 50 963 0.207843 2009-01-02T15:11:24.706 0.632745 0.632745 0.132696 0.134016
run_039 310 25 50.0000 0.7-1 50.0000 11.9780 35.4500 595 90 0.0748000 2009-01-01T05:02 46 1002 0.136000 2009-01-02T13:21:12.000 1.20720 -1.20720 0.376144 0.383900
run_039 320 5 40.0000 0.7-1 50.0000 11.1400 34.5900 680 20 0.0640000 2009-01-01T03:45 45 1023 0.140000 2009-01-02T11:45:00.000 2.81400 -2.81400 0.147594 0.165015
run_039 330 3 30.0000 0.7-1 50.0000 10.3700 32.8800 675 25 0.0466667 2009-01-01T03:45 47 1041 0.100000 2009-01-02T10:45:00.000 3.81000 -3.81000 2.38419e-07 0.00000
run_001 270 22 90.0000 0.7-1 50.0000 12.6200 33.2400 570 88 0.237727 2009-02-01T13:02 46 779 0.200000 2009-02-03T07:11:32.727 4.24682 -4.24682 1.08921 1.11484
